absorber	absorbente; agente absorbente	Technological Sciences > Environmental technology and engineering
absorber	amortiguador	Technological Sciences > Mechanical engineering and technology
action	acción	Technological Sciences > Construction technology
action	acción	Technological Sciences > Instrumentation technology
action	acción	Physics > Mechanics
action	efecto	Medical Sciences > Pharmaceutical Technology
action	acción	Physics > Electro-magnetism
action	acción	Medical Sciences > Pharmacology
action	acción	Mathematics > Algebra
action-reaction	acción-reacción	Technological Sciences > Construction technology
action-reaction	acción y reacción	Physics > Aplied Physics
activated carbon	carbón activo	Technological Sciences > Chemical technology and engineering
activated carbon	carbón activado; carbón activo	Technological Sciences > Environmental technology and engineering
activated carbon	carbón activado	Chemistry > Organic chemistry
activated charcoal	carbón activado	Chemistry > Organic chemistry
activated charcoal	carbón activo	Technological Sciences > Chemical technology and engineering
activated charcoal	carbón activado; carbón activo	Technological Sciences > Environmental technology and engineering
activator	proteína activadora	Life sciences > Biochemistry and Molecular Biology
activator	activador	Life sciences > Human physiology
activity	actividad	Medical Sciences > Pharmaceutical Technology
activity	actividad	Medical Sciences > Medical diagnostic and Treatment Technology
activity	actividad	Medical Sciences > Pharmacology
activity	actividad	Chemistry > Analytical chemistry
activity	acción	Technological Sciences > Environmental technology and engineering
activity	actividad	Chemistry > Physical chemistry
activity	actividad	Physics > General Physics specialities
activity	actividad	Life sciences > Animal Biology
activity	actividad	Technological Sciences > Projects
activity	actividad	Physics > Thermodynamics
addition	adición	Physics > Electro-magnetism
addition	suma	Mathematics > Algebra
addition	adición; suma	Mathematics > Analysis and functional analysis
addition	adición; suma	Life sciences > Animal Biology
addition	adición	Physics > General Physics specialities
adenosine diphosphate	adenosina difosfato; adenosina-5-difosfato	Life sciences > Biochemistry and Molecular Biology
adenosine diphosphate	adenosín difosfato	Life sciences > Cell biology
adenosine monophosphate	adenosín monofosfato	Life sciences > Cell biology
adenosine monophosphate	adenosina monofosfato; adenosina-5-monofosfato	Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate	adenosina trifosfato; adenosina-5-trifosfato	Life sciences > Biochemistry and Molecular Biology
adenosine triphosphate	adenosin trifosfato	Life sciences > Human physiology
adenosine triphosphate	adenosín trifosfato; trifosfato de adenosina	Life sciences > Cell biology
adhesion	adhesión	Life sciences > Cell biology
adhesion	adherencia	Technological Sciences > Environmental technology and engineering
adhesion	adherencia	Medical Sciences > Microbiology
adhesion	adhesión	Life sciences > Microbiology
adjustment	ajuste	Chemistry > Physical chemistry
adjustment	ajuste	Economic Sciences > Econometrics
adjustment	liquidación	Technological Sciences > Projects
adjustment	adecuación	Medical Sciences > Pharmacology
adjustment	ajuste	Technological Sciences > Electrical technology and engineering
adjustment	regularización	Economic Sciences > Organization and management of enterprises
aerobic respiration	respiración aeróbica	Medical Sciences > Microbiology
aerobic respiration	respiración aerobia	Life sciences > Microbiology
agent	gestor	Technological Sciences > Environmental technology and engineering
